State,City,Case_Type,Resource_Name,Resource_Type,Contact,search_key
Odisha,Bhubaneswar,Caste Discrimination,District Legal Services Authority - Bhubaneswar 4,District Legal Services Authority,+91-7641399943,Caste Discrimination Bhubaneswar Odisha
Kerala,Thiruvananthapuram,Child Abuse,Women's Helpline - Thiruvananthapuram 4,Women's Helpline,+91-7124310321,Child Abuse Thiruvananthapuram Kerala
Kerala,Kochi,Domestic Violence,Elder Help NGO - Kochi 8,Elder Help NGO,+91-7414465908,Domestic Violence Kochi Kerala
Rajasthan,Jodhpur,Property Dispute,Legal Aid NGO - Jodhpur 51,Legal Aid NGO,+91-7131891225,Property Dispute Jodhpur Rajasthan
Assam,Silchar,Sexual Harassment,Cyber Helpline - Silchar 66,Cyber Helpline,+91-9512668353,Sexual Harassment Silchar Assam
West Bengal,Kolkata,Property Dispute,Childline - Kolkata 37,Childline,+91-8847857302,Property Dispute Kolkata West Bengal
Delhi,New Delhi,Child Abuse,Elder Help NGO - New Delhi 48,Elder Help NGO,+91-8894811641,Child Abuse New Delhi Delhi
Odisha,Cuttack,Property Dispute,Elder Help NGO - Cuttack 60,Elder Help NGO,+91-8384647965,Property Dispute Cuttack Odisha
Uttar Pradesh,Lucknow,Dowry,Cyber Helpline - Lucknow 82,Cyber Helpline,+91-9517263677,Dowry Lucknow Uttar Pradesh
Odisha,Bhubaneswar,Cyber Crime,Childline - Bhubaneswar 89,Childline,+91-7086419642,Cyber Crime Bhubaneswar Odisha
Punjab,Amritsar,Dowry,Legal Aid NGO - Amritsar 58,Legal Aid NGO,+91-7437302046,Dowry Amritsar Punjab
Rajasthan,Udaipur,Cyber Crime,Childline - Udaipur 79,Childline,+91-8792329238,Cyber Crime Udaipur Rajasthan
Punjab,Ludhiana,Caste Discrimination,Cyber Helpline - Ludhiana 88,Cyber Helpline,+91-8348524740,Caste Discrimination Ludhiana Punjab
Jharkhand,Ranchi,Senior Citizen Abuse,Childline - Ranchi 54,Childline,+91-7930812958,Senior Citizen Abuse Ranchi Jharkhand
Telangana,Hyderabad,Sexual Harassment,Women's Helpline - Hyderabad 82,Women's Helpline,+91-7469062971,Sexual Harassment Hyderabad Telangana
Rajasthan,Udaipur,Sexual Harassment,Women's Helpline - Udaipur 72,Women's Helpline,+91-7253777915,Sexual Harassment Udaipur Rajasthan
Telangana,Hyderabad,Sexual Harassment,Cyber Helpline - Hyderabad 73,Cyber Helpline,+91-7645722297,Sexual Harassment Hyderabad Telangana
Bihar,Bhagalpur,Domestic Violence,Childline - Bhagalpur 47,Childline,+91-9988869086,Domestic Violence Bhagalpur Bihar
Chhattisgarh,Bilaspur,Sexual Harassment,Legal Aid NGO - Bilaspur 49,Legal Aid NGO,+91-8812085267,Sexual Harassment Bilaspur Chhattisgarh
Tamil Nadu,Coimbatore,Dowry,Legal Aid NGO - Coimbatore 61,Legal Aid NGO,+91-9985417311,Dowry Coimbatore Tamil Nadu
Chhattisgarh,Durg,Cyber Crime,Women's Helpline - Durg 12,Women's Helpline,+91-9335725535,Cyber Crime Durg Chhattisgarh
Assam,Silchar,Property Dispute,Childline - Silchar 85,Childline,+91-8816321400,Property Dispute Silchar Assam
Delhi,New Delhi,Senior Citizen Abuse,Legal Clinic - New Delhi 7,Legal Clinic,+91-8752248856,Senior Citizen Abuse New Delhi Delhi
Tamil Nadu,Madurai,Dowry,Childline - Madurai 25,Childline,+91-8391982306,Dowry Madurai Tamil Nadu
Kerala,Kochi,Domestic Violence,Elder Help NGO - Kochi 72,Elder Help NGO,+91-8061785391,Domestic Violence Kochi Kerala
Andhra Pradesh,Vijayawada,Cyber Crime,Cyber Helpline - Vijayawada 45,Cyber Helpline,+91-7406710910,Cyber Crime Vijayawada Andhra Pradesh
Gujarat,Vadodara,Cyber Crime,Legal Aid NGO - Vadodara 44,Legal Aid NGO,+91-7051938006,Cyber Crime Vadodara Gujarat
Tamil Nadu,Chennai,Caste Discrimination,District Legal Services Authority - Chennai 81,District Legal Services Authority,+91-9220804940,Caste Discrimination Chennai Tamil Nadu
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Legal Clinic - Lucknow 68,Legal Clinic,+91-7006060459,Senior Citizen Abuse Lucknow Uttar Pradesh
Karnataka,Mysore,Cyber Crime,Legal Clinic - Mysore 87,Legal Clinic,+91-9153289663,Cyber Crime Mysore Karnataka
Bihar,Bhagalpur,Child Abuse,Women's Helpline - Bhagalpur 61,Women's Helpline,+91-7897635130,Child Abuse Bhagalpur Bihar
Telangana,Hyderabad,Child Abuse,Women's Helpline - Hyderabad 48,Women's Helpline,+91-8377549187,Child Abuse Hyderabad Telangana
Chhattisgarh,Durg,Property Dispute,Childline - Durg 67,Childline,+91-8927125155,Property Dispute Durg Chhattisgarh
Madhya Pradesh,Jabalpur,Property Dispute,Childline - Jabalpur 6,Childline,+91-7550885671,Property Dispute Jabalpur Madhya Pradesh
Gujarat,Vadodara,Domestic Violence,District Legal Services Authority - Vadodara 33,District Legal Services Authority,+91-9776865972,Domestic Violence Vadodara Gujarat
Odisha,Rourkela,Property Dispute,Cyber Helpline - Rourkela 55,Cyber Helpline,+91-9894461039,Property Dispute Rourkela Odisha
Andhra Pradesh,Visakhapatnam,Dowry,Women's Helpline - Visakhapatnam 18,Women's Helpline,+91-7791695409,Dowry Visakhapatnam Andhra Pradesh
Telangana,Warangal,Sexual Harassment,Legal Aid NGO - Warangal 65,Legal Aid NGO,+91-7548005406,Sexual Harassment Warangal Telangana
Rajasthan,Udaipur,Property Dispute,Legal Clinic - Udaipur 9,Legal Clinic,+91-8506143307,Property Dispute Udaipur Rajasthan
Tamil Nadu,Coimbatore,Dowry,District Legal Services Authority - Coimbatore 55,District Legal Services Authority,+91-8499590043,Dowry Coimbatore Tamil Nadu
Odisha,Rourkela,Senior Citizen Abuse,Elder Help NGO - Rourkela 69,Elder Help NGO,+91-9155657211,Senior Citizen Abuse Rourkela Odisha
Andhra Pradesh,Vijayawada,Domestic Violence,Childline - Vijayawada 50,Childline,+91-9237835689,Domestic Violence Vijayawada Andhra Pradesh
Punjab,Ludhiana,Cyber Crime,Legal Clinic - Ludhiana 91,Legal Clinic,+91-8794074537,Cyber Crime Ludhiana Punjab
Madhya Pradesh,Bhopal,Child Abuse,Cyber Helpline - Bhopal 88,Cyber Helpline,+91-9555497141,Child Abuse Bhopal Madhya Pradesh
Assam,Silchar,Domestic Violence,Cyber Helpline - Silchar 16,Cyber Helpline,+91-7968691097,Domestic Violence Silchar Assam
Andhra Pradesh,Vijayawada,Domestic Violence,Legal Clinic - Vijayawada 70,Legal Clinic,+91-8822862134,Domestic Violence Vijayawada Andhra Pradesh
West Bengal,Siliguri,Caste Discrimination,Childline - Siliguri 5,Childline,+91-9831350430,Caste Discrimination Siliguri West Bengal
Punjab,Amritsar,Cyber Crime,Elder Help NGO - Amritsar 66,Elder Help NGO,+91-8540484079,Cyber Crime Amritsar Punjab
Andhra Pradesh,Visakhapatnam,Property Dispute,Legal Clinic - Visakhapatnam 78,Legal Clinic,+91-7703812911,Property Dispute Visakhapatnam Andhra Pradesh
West Bengal,Howrah,Cyber Crime,Women's Helpline - Howrah 60,Women's Helpline,+91-8249803764,Cyber Crime Howrah West Bengal
Karnataka,Bengaluru,Senior Citizen Abuse,Cyber Helpline - Bengaluru 3,Cyber Helpline,+91-9177798555,Senior Citizen Abuse Bengaluru Karnataka
Maharashtra,Pune,Domestic Violence,Women's Helpline - Pune 51,Women's Helpline,+91-7056918738,Domestic Violence Pune Maharashtra
Delhi,New Delhi,Cyber Crime,Elder Help NGO - New Delhi 81,Elder Help NGO,+91-8000801414,Cyber Crime New Delhi Delhi
Odisha,Bhubaneswar,Dowry,District Legal Services Authority - Bhubaneswar 47,District Legal Services Authority,+91-9862286216,Dowry Bhubaneswar Odisha
Chhattisgarh,Raipur,Senior Citizen Abuse,District Legal Services Authority - Raipur 19,District Legal Services Authority,+91-7816002064,Senior Citizen Abuse Raipur Chhattisgarh
Jammu & Kashmir,Srinagar,Sexual Harassment,Elder Help NGO - Srinagar 39,Elder Help NGO,+91-8103422383,Sexual Harassment Srinagar Jammu & Kashmir
West Bengal,Siliguri,Domestic Violence,Childline - Siliguri 50,Childline,+91-7577867014,Domestic Violence Siliguri West Bengal
Delhi,New Delhi,Domestic Violence,Women's Helpline - New Delhi 70,Women's Helpline,+91-9852651368,Domestic Violence New Delhi Delhi
Punjab,Chandigarh,Domestic Violence,Legal Clinic - Chandigarh 11,Legal Clinic,+91-9303652908,Domestic Violence Chandigarh Punjab
Jammu & Kashmir,Srinagar,Cyber Crime,Legal Clinic - Srinagar 33,Legal Clinic,+91-9749946853,Cyber Crime Srinagar Jammu & Kashmir
Kerala,Kozhikode,Cyber Crime,District Legal Services Authority - Kozhikode 92,District Legal Services Authority,+91-8476030636,Cyber Crime Kozhikode Kerala
Kerala,Kochi,Dowry,Women's Helpline - Kochi 35,Women's Helpline,+91-9263368252,Dowry Kochi Kerala
Rajasthan,Jaipur,Property Dispute,Elder Help NGO - Jaipur 61,Elder Help NGO,+91-9087314681,Property Dispute Jaipur Rajasthan
Telangana,Warangal,Dowry,Elder Help NGO - Warangal 42,Elder Help NGO,+91-9929871235,Dowry Warangal Telangana
Delhi,New Delhi,Sexual Harassment,Childline - New Delhi 86,Childline,+91-8298566961,Sexual Harassment New Delhi Delhi
Haryana,Gurgaon,Cyber Crime,Women's Helpline - Gurgaon 31,Women's Helpline,+91-9154712296,Cyber Crime Gurgaon Haryana
Jammu & Kashmir,Srinagar,Caste Discrimination,Childline - Srinagar 90,Childline,+91-8642282628,Caste Discrimination Srinagar Jammu & Kashmir
Jammu & Kashmir,Srinagar,Sexual Harassment,Elder Help NGO - Srinagar 30,Elder Help NGO,+91-7817639118,Sexual Harassment Srinagar Jammu & Kashmir
Gujarat,Vadodara,Senior Citizen Abuse,District Legal Services Authority - Vadodara 19,District Legal Services Authority,+91-8452257610,Senior Citizen Abuse Vadodara Gujarat
Andhra Pradesh,Vijayawada,Domestic Violence,Legal Clinic - Vijayawada 73,Legal Clinic,+91-7178194820,Domestic Violence Vijayawada Andhra Pradesh
Chhattisgarh,Durg,Property Dispute,Legal Aid NGO - Durg 85,Legal Aid NGO,+91-7729287019,Property Dispute Durg Chhattisgarh
Andhra Pradesh,Visakhapatnam,Dowry,District Legal Services Authority - Visakhapatnam 36,District Legal Services Authority,+91-9942969588,Dowry Visakhapatnam Andhra Pradesh
Kerala,Thiruvananthapuram,Cyber Crime,Legal Clinic - Thiruvananthapuram 93,Legal Clinic,+91-7007450784,Cyber Crime Thiruvananthapuram Kerala
Madhya Pradesh,Jabalpur,Domestic Violence,Women's Helpline - Jabalpur 68,Women's Helpline,+91-7468537712,Domestic Violence Jabalpur Madhya Pradesh
Assam,Dibrugarh,Dowry,Childline - Dibrugarh 29,Childline,+91-8472747867,Dowry Dibrugarh Assam
Madhya Pradesh,Bhopal,Domestic Violence,Legal Clinic - Bhopal 37,Legal Clinic,+91-9246884796,Domestic Violence Bhopal Madhya Pradesh
Jammu & Kashmir,Srinagar,Cyber Crime,District Legal Services Authority - Srinagar 81,District Legal Services Authority,+91-7534245440,Cyber Crime Srinagar Jammu & Kashmir
West Bengal,Siliguri,Caste Discrimination,Women's Helpline - Siliguri 57,Women's Helpline,+91-7777074545,Caste Discrimination Siliguri West Bengal
Rajasthan,Jaipur,Domestic Violence,Women's Helpline - Jaipur 19,Women's Helpline,+91-9186224148,Domestic Violence Jaipur Rajasthan
Jharkhand,Dhanbad,Dowry,Elder Help NGO - Dhanbad 13,Elder Help NGO,+91-7345322052,Dowry Dhanbad Jharkhand
West Bengal,Howrah,Sexual Harassment,Elder Help NGO - Howrah 57,Elder Help NGO,+91-7364030882,Sexual Harassment Howrah West Bengal
Odisha,Cuttack,Property Dispute,Elder Help NGO - Cuttack 45,Elder Help NGO,+91-8374830353,Property Dispute Cuttack Odisha
Delhi,New Delhi,Dowry,Legal Aid NGO - New Delhi 73,Legal Aid NGO,+91-8321158077,Dowry New Delhi Delhi
Telangana,Nizamabad,Senior Citizen Abuse,Legal Clinic - Nizamabad 35,Legal Clinic,+91-9632080488,Senior Citizen Abuse Nizamabad Telangana
Jammu & Kashmir,Srinagar,Domestic Violence,Childline - Srinagar 64,Childline,+91-7848142051,Domestic Violence Srinagar Jammu & Kashmir
Punjab,Ludhiana,Domestic Violence,Legal Aid NGO - Ludhiana 99,Legal Aid NGO,+91-7808644342,Domestic Violence Ludhiana Punjab
Andhra Pradesh,Guntur,Cyber Crime,Legal Clinic - Guntur 29,Legal Clinic,+91-7763986179,Cyber Crime Guntur Andhra Pradesh
Haryana,Gurgaon,Property Dispute,District Legal Services Authority - Gurgaon 88,District Legal Services Authority,+91-9357670623,Property Dispute Gurgaon Haryana
Haryana,Gurgaon,Caste Discrimination,Cyber Helpline - Gurgaon 61,Cyber Helpline,+91-8352792932,Caste Discrimination Gurgaon Haryana
Odisha,Bhubaneswar,Dowry,Women's Helpline - Bhubaneswar 97,Women's Helpline,+91-9487347521,Dowry Bhubaneswar Odisha
Assam,Guwahati,Sexual Harassment,Legal Aid NGO - Guwahati 43,Legal Aid NGO,+91-7425647227,Sexual Harassment Guwahati Assam
Andhra Pradesh,Vijayawada,Sexual Harassment,Legal Aid NGO - Vijayawada 36,Legal Aid NGO,+91-9622977442,Sexual Harassment Vijayawada Andhra Pradesh
Jharkhand,Ranchi,Domestic Violence,Legal Clinic - Ranchi 21,Legal Clinic,+91-9634038212,Domestic Violence Ranchi Jharkhand
Maharashtra,Nagpur,Senior Citizen Abuse,District Legal Services Authority - Nagpur 94,District Legal Services Authority,+91-9777336590,Senior Citizen Abuse Nagpur Maharashtra
Karnataka,Mangalore,Dowry,Legal Clinic - Mangalore 76,Legal Clinic,+91-9842598695,Dowry Mangalore Karnataka
Andhra Pradesh,Visakhapatnam,Senior Citizen Abuse,Legal Aid NGO - Visakhapatnam 15,Legal Aid NGO,+91-7593738423,Senior Citizen Abuse Visakhapatnam Andhra Pradesh
Haryana,Faridabad,Caste Discrimination,Childline - Faridabad 52,Childline,+91-8308384601,Caste Discrimination Faridabad Haryana
Karnataka,Mysore,Senior Citizen Abuse,Legal Clinic - Mysore 43,Legal Clinic,+91-9005418814,Senior Citizen Abuse Mysore Karnataka
Haryana,Faridabad,Caste Discrimination,District Legal Services Authority - Faridabad 95,District Legal Services Authority,+91-7304766571,Caste Discrimination Faridabad Haryana
Telangana,Hyderabad,Property Dispute,Women's Helpline - Hyderabad 26,Women's Helpline,+91-8517742247,Property Dispute Hyderabad Telangana
Odisha,Bhubaneswar,Sexual Harassment,Legal Clinic - Bhubaneswar 78,Legal Clinic,+91-9984573360,Sexual Harassment Bhubaneswar Odisha
Assam,Guwahati,Sexual Harassment,Women's Helpline - Guwahati 32,Women's Helpline,+91-8003877944,Sexual Harassment Guwahati Assam
Haryana,Gurgaon,Senior Citizen Abuse,Legal Aid NGO - Gurgaon 2,Legal Aid NGO,+91-7978858114,Senior Citizen Abuse Gurgaon Haryana
Kerala,Kochi,Child Abuse,Elder Help NGO - Kochi 41,Elder Help NGO,+91-9720129561,Child Abuse Kochi Kerala
Tamil Nadu,Coimbatore,Child Abuse,Cyber Helpline - Coimbatore 90,Cyber Helpline,+91-7223873327,Child Abuse Coimbatore Tamil Nadu
Maharashtra,Nagpur,Dowry,Legal Clinic - Nagpur 82,Legal Clinic,+91-8958733301,Dowry Nagpur Maharashtra
Delhi,New Delhi,Caste Discrimination,Women's Helpline - New Delhi 50,Women's Helpline,+91-7786733794,Caste Discrimination New Delhi Delhi
Karnataka,Mangalore,Dowry,Childline - Mangalore 92,Childline,+91-9991511920,Dowry Mangalore Karnataka
Tamil Nadu,Coimbatore,Dowry,Women's Helpline - Coimbatore 85,Women's Helpline,+91-8191720389,Dowry Coimbatore Tamil Nadu
Andhra Pradesh,Visakhapatnam,Property Dispute,Legal Clinic - Visakhapatnam 54,Legal Clinic,+91-7010319345,Property Dispute Visakhapatnam Andhra Pradesh
Tamil Nadu,Madurai,Caste Discrimination,Legal Aid NGO - Madurai 53,Legal Aid NGO,+91-9114821500,Caste Discrimination Madurai Tamil Nadu
Assam,Guwahati,Cyber Crime,Legal Aid NGO - Guwahati 47,Legal Aid NGO,+91-7549367812,Cyber Crime Guwahati Assam
Maharashtra,Nagpur,Dowry,District Legal Services Authority - Nagpur 8,District Legal Services Authority,+91-9812283620,Dowry Nagpur Maharashtra
Maharashtra,Nagpur,Dowry,Cyber Helpline - Nagpur 78,Cyber Helpline,+91-7880630951,Dowry Nagpur Maharashtra
Uttar Pradesh,Varanasi,Cyber Crime,Legal Clinic - Varanasi 97,Legal Clinic,+91-7840983683,Cyber Crime Varanasi Uttar Pradesh
Andhra Pradesh,Visakhapatnam,Property Dispute,Elder Help NGO - Visakhapatnam 99,Elder Help NGO,+91-8153642354,Property Dispute Visakhapatnam Andhra Pradesh
Telangana,Warangal,Dowry,District Legal Services Authority - Warangal 15,District Legal Services Authority,+91-7670065037,Dowry Warangal Telangana
Uttar Pradesh,Lucknow,Senior Citizen Abuse,Legal Aid NGO - Lucknow 21,Legal Aid NGO,+91-7734212596,Senior Citizen Abuse Lucknow Uttar Pradesh
Bihar,Bhagalpur,Child Abuse,Legal Clinic - Bhagalpur 31,Legal Clinic,+91-9107865076,Child Abuse Bhagalpur Bihar
Jammu & Kashmir,Jammu,Property Dispute,Childline - Jammu 53,Childline,+91-9720967972,Property Dispute Jammu Jammu & Kashmir
Telangana,Nizamabad,Senior Citizen Abuse,Legal Aid NGO - Nizamabad 60,Legal Aid NGO,+91-7853051737,Senior Citizen Abuse Nizamabad Telangana
Uttar Pradesh,Kanpur,Senior Citizen Abuse,Legal Clinic - Kanpur 31,Legal Clinic,+91-9658815256,Senior Citizen Abuse Kanpur Uttar Pradesh
Haryana,Gurgaon,Dowry,Cyber Helpline - Gurgaon 28,Cyber Helpline,+91-8182896306,Dowry Gurgaon Haryana
Chhattisgarh,Durg,Domestic Violence,District Legal Services Authority - Durg 30,District Legal Services Authority,+91-8721260723,Domestic Violence Durg Chhattisgarh
Andhra Pradesh,Guntur,Sexual Harassment,Legal Aid NGO - Guntur 70,Legal Aid NGO,+91-9510717180,Sexual Harassment Guntur Andhra Pradesh
Assam,Dibrugarh,Cyber Crime,Childline - Dibrugarh 17,Childline,+91-7320903899,Cyber Crime Dibrugarh Assam
Jharkhand,Dhanbad,Child Abuse,Women's Helpline - Dhanbad 94,Women's Helpline,+91-8793045877,Child Abuse Dhanbad Jharkhand
Jharkhand,Ranchi,Property Dispute,Legal Clinic - Ranchi 15,Legal Clinic,+91-9149475562,Property Dispute Ranchi Jharkhand
Chhattisgarh,Durg,Caste Discrimination,Legal Clinic - Durg 76,Legal Clinic,+91-9496631629,Caste Discrimination Durg Chhattisgarh
Tamil Nadu,Chennai,Child Abuse,Elder Help NGO - Chennai 23,Elder Help NGO,+91-8179668062,Child Abuse Chennai Tamil Nadu
Madhya Pradesh,Bhopal,Sexual Harassment,Elder Help NGO - Bhopal 81,Elder Help NGO,+91-8534661915,Sexual Harassment Bhopal Madhya Pradesh
West Bengal,Siliguri,Cyber Crime,District Legal Services Authority - Siliguri 6,District Legal Services Authority,+91-9013249922,Cyber Crime Siliguri West Bengal
Gujarat,Ahmedabad,Property Dispute,Legal Clinic - Ahmedabad 35,Legal Clinic,+91-9969503431,Property Dispute Ahmedabad Gujarat
Delhi,New Delhi,Caste Discrimination,Legal Clinic - New Delhi 89,Legal Clinic,+91-9065252230,Caste Discrimination New Delhi Delhi
Gujarat,Ahmedabad,Domestic Violence,Legal Clinic - Ahmedabad 81,Legal Clinic,+91-7487830796,Domestic Violence Ahmedabad Gujarat
Kerala,Kochi,Domestic Violence,Cyber Helpline - Kochi 50,Cyber Helpline,+91-9639295415,Domestic Violence Kochi Kerala
Haryana,Gurgaon,Cyber Crime,Elder Help NGO - Gurgaon 22,Elder Help NGO,+91-7775215311,Cyber Crime Gurgaon Haryana
Tamil Nadu,Coimbatore,Senior Citizen Abuse,District Legal Services Authority - Coimbatore 79,District Legal Services Authority,+91-9550521442,Senior Citizen Abuse Coimbatore Tamil Nadu
Telangana,Nizamabad,Dowry,Legal Clinic - Nizamabad 73,Legal Clinic,+91-9973481862,Dowry Nizamabad Telangana
Jharkhand,Jamshedpur,Child Abuse,District Legal Services Authority - Jamshedpur 28,District Legal Services Authority,+91-9496167946,Child Abuse Jamshedpur Jharkhand
Kerala,Thiruvananthapuram,Sexual Harassment,Childline - Thiruvananthapuram 69,Childline,+91-8349604092,Sexual Harassment Thiruvananthapuram Kerala
Haryana,Gurgaon,Domestic Violence,Women's Helpline - Gurgaon 70,Women's Helpline,+91-9067896233,Domestic Violence Gurgaon Haryana
Jharkhand,Jamshedpur,Senior Citizen Abuse,District Legal Services Authority - Jamshedpur 51,District Legal Services Authority,+91-8291880568,Senior Citizen Abuse Jamshedpur Jharkhand
Andhra Pradesh,Visakhapatnam,Caste Discrimination,Cyber Helpline - Visakhapatnam 51,Cyber Helpline,+91-9456072610,Caste Discrimination Visakhapatnam Andhra Pradesh
Tamil Nadu,Madurai,Dowry,Legal Aid NGO - Madurai 80,Legal Aid NGO,+91-8709263962,Dowry Madurai Tamil Nadu
Maharashtra,Pune,Caste Discrimination,District Legal Services Authority - Pune 39,District Legal Services Authority,+91-7939596124,Caste Discrimination Pune Maharashtra
Uttar Pradesh,Lucknow,Sexual Harassment,Legal Aid NGO - Lucknow 90,Legal Aid NGO,+91-9659380354,Sexual Harassment Lucknow Uttar Pradesh
Haryana,Panipat,Child Abuse,Legal Aid NGO - Panipat 1,Legal Aid NGO,+91-8541235930,Child Abuse Panipat Haryana
Tamil Nadu,Chennai,Child Abuse,Legal Clinic - Chennai 37,Legal Clinic,+91-8077169424,Child Abuse Chennai Tamil Nadu
Chhattisgarh,Bilaspur,Domestic Violence,Elder Help NGO - Bilaspur 94,Elder Help NGO,+91-7369272476,Domestic Violence Bilaspur Chhattisgarh
Bihar,Patna,Sexual Harassment,District Legal Services Authority - Patna 22,District Legal Services Authority,+91-8956234104,Sexual Harassment Patna Bihar
Haryana,Panipat,Senior Citizen Abuse,Childline - Panipat 31,Childline,+91-9656356175,Senior Citizen Abuse Panipat Haryana
Odisha,Bhubaneswar,Dowry,Elder Help NGO - Bhubaneswar 55,Elder Help NGO,+91-7890181030,Dowry Bhubaneswar Odisha
Andhra Pradesh,Visakhapatnam,Child Abuse,Cyber Helpline - Visakhapatnam 61,Cyber Helpline,+91-7818612682,Child Abuse Visakhapatnam Andhra Pradesh
Madhya Pradesh,Bhopal,Dowry,Legal Clinic - Bhopal 95,Legal Clinic,+91-7418521829,Dowry Bhopal Madhya Pradesh
Bihar,Bhagalpur,Child Abuse,Legal Clinic - Bhagalpur 23,Legal Clinic,+91-9650780947,Child Abuse Bhagalpur Bihar
Gujarat,Ahmedabad,Sexual Harassment,District Legal Services Authority - Ahmedabad 20,District Legal Services Authority,+91-9914566845,Sexual Harassment Ahmedabad Gujarat
Odisha,Cuttack,Caste Discrimination,Childline - Cuttack 97,Childline,+91-9694133565,Caste Discrimination Cuttack Odisha
Delhi,New Delhi,Sexual Harassment,Women's Helpline - New Delhi 2,Women's Helpline,+91-8768673931,Sexual Harassment New Delhi Delhi
Tamil Nadu,Madurai,Sexual Harassment,Legal Clinic - Madurai 72,Legal Clinic,+91-8879398743,Sexual Harassment Madurai Tamil Nadu
Tamil Nadu,Coimbatore,Property Dispute,Legal Clinic - Coimbatore 95,Legal Clinic,+91-7723269308,Property Dispute Coimbatore Tamil Nadu
Odisha,Bhubaneswar,Dowry,Elder Help NGO - Bhubaneswar 90,Elder Help NGO,+91-8426923147,Dowry Bhubaneswar Odisha
Maharashtra,Nagpur,Domestic Violence,Legal Aid NGO - Nagpur 24,Legal Aid NGO,+91-7673755024,Domestic Violence Nagpur Maharashtra
Andhra Pradesh,Guntur,Domestic Violence,Elder Help NGO - Guntur 60,Elder Help NGO,+91-7248719367,Domestic Violence Guntur Andhra Pradesh
Bihar,Patna,Domestic Violence,Childline - Patna 39,Childline,+91-7402279955,Domestic Violence Patna Bihar
Madhya Pradesh,Indore,Child Abuse,Legal Clinic - Indore 36,Legal Clinic,+91-9897543552,Child Abuse Indore Madhya Pradesh
Gujarat,Vadodara,Caste Discrimination,Women's Helpline - Vadodara 67,Women's Helpline,+91-7757368936,Caste Discrimination Vadodara Gujarat
Andhra Pradesh,Visakhapatnam,Senior Citizen Abuse,Legal Clinic - Visakhapatnam 16,Legal Clinic,+91-9524781810,Senior Citizen Abuse Visakhapatnam Andhra Pradesh
Telangana,Hyderabad,Cyber Crime,Legal Clinic - Hyderabad 81,Legal Clinic,+91-7984221839,Cyber Crime Hyderabad Telangana
Delhi,New Delhi,Dowry,Legal Clinic - New Delhi 97,Legal Clinic,+91-9018901358,Dowry New Delhi Delhi
Haryana,Panipat,Caste Discrimination,Legal Clinic - Panipat 37,Legal Clinic,+91-7121181168,Caste Discrimination Panipat Haryana
Karnataka,Mangalore,Cyber Crime,Legal Clinic - Mangalore 4,Legal Clinic,+91-8598713793,Cyber Crime Mangalore Karnataka
Chhattisgarh,Raipur,Caste Discrimination,Women's Helpline - Raipur 43,Women's Helpline,+91-8767633016,Caste Discrimination Raipur Chhattisgarh
Andhra Pradesh,Visakhapatnam,Domestic Violence,Childline - Visakhapatnam 48,Childline,+91-7210615948,Domestic Violence Visakhapatnam Andhra Pradesh
Tamil Nadu,Madurai,Caste Discrimination,District Legal Services Authority - Madurai 76,District Legal Services Authority,+91-8063980410,Caste Discrimination Madurai Tamil Nadu
Maharashtra,Nagpur,Senior Citizen Abuse,Elder Help NGO - Nagpur 84,Elder Help NGO,+91-7273236668,Senior Citizen Abuse Nagpur Maharashtra
Tamil Nadu,Madurai,Sexual Harassment,Childline - Madurai 65,Childline,+91-9045962784,Sexual Harassment Madurai Tamil Nadu
Andhra Pradesh,Guntur,Sexual Harassment,Legal Aid NGO - Guntur 78,Legal Aid NGO,+91-8027638980,Sexual Harassment Guntur Andhra Pradesh
Punjab,Chandigarh,Sexual Harassment,District Legal Services Authority - Chandigarh 72,District Legal Services Authority,+91-7592851714,Sexual Harassment Chandigarh Punjab
Karnataka,Mangalore,Caste Discrimination,Elder Help NGO - Mangalore 28,Elder Help NGO,+91-8513947899,Caste Discrimination Mangalore Karnataka
Assam,Guwahati,Domestic Violence,Women's Helpline - Guwahati 53,Women's Helpline,+91-9737904575,Domestic Violence Guwahati Assam
Jammu & Kashmir,Srinagar,Property Dispute,Elder Help NGO - Srinagar 53,Elder Help NGO,+91-7589655105,Property Dispute Srinagar Jammu & Kashmir
Chhattisgarh,Bilaspur,Child Abuse,Legal Aid NGO - Bilaspur 84,Legal Aid NGO,+91-7167578877,Child Abuse Bilaspur Chhattisgarh
Tamil Nadu,Chennai,Domestic Violence,Legal Clinic - Chennai 2,Legal Clinic,+91-8735332087,Domestic Violence Chennai Tamil Nadu
Assam,Guwahati,Domestic Violence,Elder Help NGO - Guwahati 4,Elder Help NGO,+91-7422367838,Domestic Violence Guwahati Assam
Uttar Pradesh,Lucknow,Cyber Crime,Legal Aid NGO - Lucknow 71,Legal Aid NGO,+91-8197341999,Cyber Crime Lucknow Uttar Pradesh
Delhi,New Delhi,Cyber Crime,Women's Helpline - New Delhi 60,Women's Helpline,+91-9288130976,Cyber Crime New Delhi Delhi
Chhattisgarh,Raipur,Child Abuse,Legal Aid NGO - Raipur 55,Legal Aid NGO,+91-7113184323,Child Abuse Raipur Chhattisgarh
Karnataka,Mangalore,Dowry,Cyber Helpline - Mangalore 51,Cyber Helpline,+91-7075237910,Dowry Mangalore Karnataka
